Total Keys: 2313
4: "TEETH FALLING OUT"
143: "CANDLE"
159: "SWIMMING POOL"
203: "VOLCANO"
300: "BLACK AND WHITE"
313: "POLKA DOT"
392: "TRASH CAN"
415: "CREDIT CARD"
456: "CANYON"
583: "TOILET PAPER"
586: "ALARM CLOCK"
587: "PICTURE FRAME"
592: "HURRICANE"
615: "BLACK HOLE"
661: "ICE CREAM"
768: "TESLA COIL"
775: "CANDELABRUM"
827: "SEA URCHIN"
836: "PELICAN"
916: "DOWSING ROD"
954: "ACANTHUS"
988: "CANDELABRA"
1186: "SCRYING BOWL"
1187: "COELACANTH"
1195: "INFINITY POOL"
1247: "ETRUSCAN VASE"
1256: "IRRAWADDY DOLPHIN"
1257: "INVISIBILITY TO OTHERS"
1258: "FALLING FROM A GREAT HEIGHT"
1259: "WALKING THROUGH ENDLESS CORRIDORS"
1260: "UNCONTROLLABLE LAUGHTER"
1261: "TRYING TO CALL FOR HELP BUT NO VOICE"
1262: "STUCK IN A REPEATING LOOP"
1263: "UNABLE TO FIND THE WAY HOME"
1264: "SUDDENLY SPEAKING A NEW LANGUAGE"
1265: "ENDLESS SEARCH FOR SOMETHING LOST"
1266: "SUDDEN REALIZATION OF BEING LATE"
1267: "FINDING YOURSELF IN THE MIDDLE OF NOWHERE"
1268: "PARTICIPATING IN A PERFORMANCE UNPREPARED"
1269: "VOICELESS CONVERSATIONS"
1270: "BEING JUDGED BY A CROWD"
1271: "WALKING ON AIR"
1272: "WALKING THROUGH WALLS"
1273: "LOSING CONTROL OVER BODY MOVEMENTS"
1274: "TIME MOVING TOO QUICKLY"
1275: "FORGOTTEN IDENTITY"
1276: "ENDLESS STAIRCASE"
1277: "HEARING MUSIC WITH NO SOURCE"
1278: "BEING STUCK IN A MAZE"
1279: "STRUGGLING AGAINST AN UNSTOPPABLE FORCE"
1280: "WATCHING EVENTS UNFOLD UNABLE TO INTERVENE"
1281: "BEING IN TWO PLACES AT ONCE"
1282: "RUNNING IN SLOW MOTION"
1283: "CAN'T MOVE / SLEEP PARALYSIS"
1284: "BEING CHASED"
1285: "TRYING TO SCREAM BUT NO SOUND"
1286: "FALLING ENDLESSLY"
1287: "NAKED IN PUBLIC"
1288: "FINDING A NEW ROOM IN HOUSE"
1289: "TEETH CRUMBLING"
1290: "LATE FOR AN EXAM"
1291: "DRIVING A CAR WITH NO BRAKES"
1292: "BREATHING UNDERWATER"
1293: "ARGUING WITH SOMEONE BUT CAN'T REMEMBER WHAT ABOUT"
1294: "FLYING WITHOUT WINGS"
1295: "MEETING A DECEASED RELATIVE"
1296: "OVERSLEEPING AND MISSING AN IMPORTANT EVENT"
1297: "COMPETING IN A RACE WITH NO END"
1298: "IN A NEVER-ENDING HALLWAY"
1299: "LOSING YOUR VOICE IN A CRITICAL CONVERSATION"
1300: "BEING UNABLE TO DIAL A PHONE NUMBER"
1301: "SUDDENLY REALIZING YOU'RE IN THE WRONG PLACE"
1302: "FEELING OF WEIGHTLESSNESS"
1303: "BEING STUCK IN QUICKSAND"
1304: "SEEING A FAMILIAR FACE YOU CAN’T IDENTIFY"
1305: "FORGETTING HOW TO WALK"
1306: "RUNNING FROM AN UNKNOWN THREAT"
1307: "RUNNING WITHOUT MAKING PROGRESS"
1308: "BEING STUCK IN AN ELEVATOR"
1309: "DROWNING WITH NO ESCAPE"
1310: "LOSING CONTROL OVER BODY"
1311: "UNABLE TO FIND YOUR VOICE"
1312: "REUNITING WITH A CHILDHOOD FRIEND"
1313: "BEING LATE FOR AN IMPORTANT EVENT"
1314: "ENDLESS HALLWAY WITH NO EXIT"
1315: "FLOATING ABOVE THE GROUND"
1316: "WITNESSING YOUR REFLECTION BEHAVING DIFFERENTLY"
1317: "LOST IN A FOREIGN LAND"
1318: "BETRAYED BY A TRUSTED PERSON"
1319: "DISCOVERING A FORGOTTEN TALENT"
1320: "COMMUNICATING TELEPATHICALLY"
1321: "SUDDENLY FORGETTING HOW TO READ"
1322: "SINKING INTO THE GROUND"
1323: "SUDDENLY AGING RAPIDLY"
1324: "OBJECTS MOVING ON THEIR OWN"
1325: "BEING PART OF A HISTORICAL EVENT"
1326: "UNABLE TO OPEN YOUR EYES"
1327: "HEARING A DISTANT MELODY"
1328: "GRAVITY PULLING YOU UPWARDS"
1329: "UNABLE TO DIAL A PHONE"
1330: "TIME MOVING BACKWARDS"
1331: "ENDLESSLY SEARCHING FOR SOMETHING LOST"
1332: "SHOUTING BUT NOBODY HEARS"
1333: "VOICELESS WHEN TRYING TO SPEAK"
1334: "IN A RACE BUT CONSTANTLY SLOWING DOWN"
1335: "TREADING WATER WITHOUT PROGRESS"
1336: "SWIMMING AGAINST A STRONG CURRENT"
1337: "SUDDENLY GAINING EXTRAORDINARY STRENGTH"
1338: "ESCAPING FROM A SITUATION WITH URGENCY"
1339: "REUNITING WITH CHILDHOOD VERSIONS OF FRIENDS"
1340: "IN A ROOM WITH CHANGING WALLS"
1341: "WANDERING THROUGH ENDLESS CORRIDORS"
1342: "EXPERIENCING TIME MOVING BACKWARDS"
1343: "REPEATEDLY TRYING AND FAILING TO REACH A DESTINATION"
1344: "UNSTOPPABLE FORWARD MOTION"
1345: "UNEXPLAINABLE ANXIETY WITHOUT RESOLUTION"
1346: "BEING SURROUNDED BY STRANGERS THAT KNOW YOU"
1347: "FEELING PURSUED BUT NOT CHASED"
1348: "FAILING TO REMEMBER SOMETHING CRUCIAL"
1349: "WITNESSING AN IMPOSSIBLE EVENT"
1350: "FACELESS PEOPLE COMMUNICATING WITH YOU"
1351: "UNCONTROLLABLY LAUGHING"
1352: "HAVING AN INTENSE CONVERSATION WITHOUT UNDERSTANDING THE LANGUAGE"
1353: "BEING FORGOTTEN OR IGNORED"
1354: "REVISITING A CHILDHOOD MEMORY WITH A SENSE OF DÉJÀ VU"
1355: "BEING UNABLE TO FIND THE EXIT IN A BUILDING"
1356: "SUDDENLY REALIZING AN IMPORTANT RESPONSIBILITY"
1360: "VR HEADSET"
1362: "SMART TV"
1363: "WIRELESS EARBUDS"
1364: "USB DRIVE"
1365: "CHARGING CABLE"
1366: "BLUETOOTH SPEAKER"
1367: "ELECTRIC SCOOTER"
1368: "STREAMING SERVICE"
1369: "GAMING CONSOLE"
1370: "SELFIE STICK"
1371: "FITNESS TRACKER"
1372: "SMART HOME DEVICE"
1373: "ELECTRIC CAR"
1374: "VIDEO CALL"
1375: "SOCIAL MEDIA APP"
1376: "3D PRINTER"
1377: "ONLINE SHOPPING CART"
1379: "DIGITAL CAMERA"
1380: "DIGITAL WALLET"
1381: "GPS NAVIGATION"
1382: "SMART THERMOSTAT"
1383: "VOICE ASSISTANT"
1384: "CLOUD STORAGE"
1385: "ELECTRIC BIKE"
1386: "ONLINE LEARNING PLATFORM"
1387: "AUGMENTED REALITY GLASSES"
1389: "INSTANT MESSAGING APP"
1390: "STREAMING DEVICE"
1391: "WIRELESS CHARGER"
1392: "RIDE-SHARING APP"
1393: "ONLINE DATING APP"
1394: "SMART LIGHT"
1395: "ACTION CAMERA"
1396: "PERSONAL DRONE"
1397: "ONLINE BANKING"
1398: "SMART REFRIGERATOR"
1399: "FITNESS APP"
1400: "STREAMING SUBSCRIPTION"
1401: "VIRTUAL ASSISTANT"
1402: "VIDEO STREAMING"
1403: "SMART SPEAKER"
1405: "ONLINE GAME"
1406: "MOBILE PAYMENT"
1413: "FILE CABINET"
1415: "CONFERENCE CALL"
1417: "WATER COOLER"
1418: "OFFICE PLANT"
1419: "KEYBOARD SHORTCUT"
1420: "STICKY NOTE"
1421: "ID CARD"
1422: "TEXT MESSAGE"
1423: "COFFEE MUG"
1424: "VIRTUAL MEETING"
1425: "BUSINESS CARD"
1426: "PRESENTATION SLIDE"
1427: "DESK LAMP"
1428: "AIR CONDITIONER"
1429: "FILE UPLOAD"
1430: "ELECTRIC OUTLET"
1431: "RECEPTION DESK"
1432: "SECURITY CAMERA"
1434: "TASK LIST"
1435: "OFFICE PARTY"
1437: "SWIPE CARD"
1438: "POP-UP NOTIFICATION"
1440: "BREAK ROOM"
1441: "DESK ORGANIZER"
1442: "COAT RACK"
1443: "EMAIL ATTACHMENT"
1445: "DESK PLANT"
1446: "TRAFFIC LIGHT"
1448: "PARKING METER"
1449: "BUS STOP"
1450: "WIFI ROUTER"
1451: "BICYCLE LANE"
1452: "SUBWAY CAR"
1454: "CONSTRUCTION CRANE"
1455: "METRO CARD"
1457: "SELF-DRIVING CAR"
1458: "STREET VENDOR"
1460: "SOLAR PANEL"
1462: "HYBRID CAR"
1463: "RIDE SHARING"
1464: "PUBLIC TRASH CAN"
1465: "SURVEILLANCE DRONE"
1466: "FOOD TRUCK"
1467: "ELECTRIC CAR CHARGING STATION"
1468: "RECYCLING BIN"
1469: "FIRE HYDRANT"
1470: "PARKING GARAGE"
1471: "BICYCLE RACK"
1473: "VENDING MACHINE"
1474: "BIKE SHARE"
1475: "URBAN GARDEN"
